,pred_sin,truth_sin,pred_cos,truth_cos,pred_cubic,truth_cubic
0,0.044007283,-0.025378214,0.36199364,1.0485448,-0.2254093,-0.94641286
1,0.0031397613,0.14691752,0.14559568,1.0941166,-0.11992628,-0.99475634
2,-0.028969143,0.20935386,0.08106877,0.9889094,-0.09934505,-0.9125779
3,-0.04427026,0.13405895,0.061180018,0.9606878,-0.09477028,-1.0216668
4,-0.05059331,0.08388117,0.054881394,1.0418667,-0.09334642,-0.98278916
5,-0.05306331,0.24021965,0.052858815,0.9156006,-0.092757836,-0.85602266
6,-0.054004632,-0.0030610573,0.052207604,0.8976699,-0.092489675,-0.81161016
7,-0.05435925,0.10693125,0.051999092,1.0003233,-0.09236755,-0.95184284
8,-0.0544921,0.019168962,0.051933132,1.2268287,-0.09231339,-1.0094293
9,-0.054541707,0.16949746,0.051912654,0.77795917,-0.09229001,-0.7588381
10,-0.054560192,0.10296719,0.051906474,1.0171814,-0.092280164,-0.95953715
11,-0.05456707,0.121617176,0.05190467,1.0292296,-0.092276074,-0.6407889
12,-0.054569624,0.07911347,0.05190418,0.9910924,-0.092274405,-1.108504
13,-0.054570593,0.3589488,0.051904064,1.0052702,-0.09227375,-0.9475183
14,-0.054570943,0.26450977,0.051904045,1.0075905,-0.092273474,-0.8865541
15,-0.054571077,0.3054743,0.051904045,0.8626523,-0.092273384,-0.746844
16,-0.05457113,0.3184525,0.051904052,0.9854239,-0.09227334,-1.0702882
17,-0.05457115,0.33488366,0.051904052,0.86061496,-0.09227332,-0.9383395
18,-0.05457116,0.35994825,0.051904052,0.98215675,-0.09227331,-1.0734459
19,-0.05457116,0.41974756,0.051904052,1.1210405,-0.09227331,-0.967213
20,-0.05457116,0.32074806,0.051904052,0.86429346,-0.09227331,-0.99978536
21,-0.05457116,0.51647216,0.051904052,1.0097855,-0.09227331,-1.013401
22,-0.05457116,0.3904993,0.051904052,0.9338691,-0.09227331,-0.8436845
23,-0.05457116,0.52135277,0.051904052,0.830817,-0.09227331,-1.0087417
24,-0.05457116,0.50047976,0.051904052,0.9037608,-0.09227331,-0.9536884
25,-0.05457116,0.3665935,0.051904052,0.9444002,-0.09227331,-0.9027337
26,-0.05457116,0.44661096,0.051904052,1.1365563,-0.09227331,-0.9632178
